X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,pm2_5,aqi,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,mytracks_speed,mytracks_length
72.83070136,19.05892932,"0","0","524",19.84427249,2022/11/17 12:42:00,"110","179",,,,,,,,,,,,,,,,,,,,,,,
72.83069854,19.05892178,"0","0","525",19.70291778,2022/11/17 12:42:01,"110","179",,,,,,,,,,,,,,,,,,,,,,,
72.8306954,19.05891437,"0","0","526",19.76672628,2022/11/17 12:42:02,"110","179",,,,,,,,,,,,,,,,,,,,,,,
72.83069385,19.05890711,"0","0","527",19.83212631,2022/11/17 12:42:03,"110","179",,,,,,,,,,,,,,,,,,,,,,,
72.83069317,19.05890458,"0","0","528",19.88056071,2022/11/17 12:42:04,"110","179",,,,,,,,,,,,,,,,,,,,,,,
72.83069347,19.0589011,"0","0","529",19.97387039,2022/11/17 12:42:05,"110","179",,,,,,,,,,,,,,,,,,,,,,,
72.83069678,19.05889902,"0","0","530",20.04455026,2022/11/17 12:42:06,"110","179",,,,,,,,,,,,,,,,,,,,,,,
72.83070253,19.05889806,"0","0","531",20.06072461,2022/11/17 12:42:07,"110","179",,,,,,,,,,,,,,,,,,,,,,,
72.83070843,19.05889901,"0","0","532",19.98747083,2022/11/17 12:42:08,"110","179",,,,,,,,,,,,,,,,,,,,,,,
72.83071505,19.05889608,"0","0","533",19.89697091,2022/11/17 12:42:09,"110","179",,,,,,,,,,,,,,,,,,,,,,,
72.83072329,19.05889368,"0","0","534",19.87294135,2022/11/17 12:42:10,"110","179",,,,,,,,,,,,,,,,,,,,,,,
72.83073184,19.05889051,"0","0","535",19.85289859,2022/11/17 12:42:11,"110","179",,,,,,,,,,,,,,,,,,,,,,,
72.83074301,19.05888934,"0","0","536",19.93481195,2022/11/17 12:42:12,"110","179",,,,,,,,,,,,,,,,,,,,,,,
72.83075349,19.05888815,"0","0","537",19.90308552,2022/11/17 12:42:13,"110","179",,,,,,,,,,,,,,,,,,,,,,,
72.83076341,19.05888745,"0","0","538",19.94088879,2022/11/17 12:42:14,"97","172",,,,,,,,,,,,,,,,,,,,,,,
72.83077404,19.0588841,"0","0","539",19.87536702,2022/11/17 12:42:15,"96","171",,,,,,,,,,,,,,,,,,,,,,,
72.83078492,19.05887819,"0","0","540",19.6850871,2022/11/17 12:42:16,"96","171",,,,,,,,,,,,,,,,,,,,,,,
72.83079107,19.05886886,"0","0","541",19.47529519,2022/11/17 12:42:17,"96","171",,,,,,,,,,,,,,,,,,,,,,,
72.8307963,19.05885657,"0","0","542",19.44314064,2022/11/17 12:42:18,"96","171",,,,,,,,,,,,,,,,,,,,,,,
72.83080081,19.05884241,"0","0","543",19.40939579,2022/11/17 12:42:19,"96","171",,,,,,,,,,,,,,,,,,,,,,,
72.83080386,19.0588281,"0","0","544",19.4528755,2022/11/17 12:42:20,"96","171",,,,,,,,,,,,,,,,,,,,,,,
72.83080467,19.05881559,"0","0","545",19.57649163,2022/11/17 12:42:20,"96","171",,,,,,,,,,,,,,,,,,,,,,,
72.83080687,19.05880192,"0","0","546",19.64287773,2022/11/17 12:42:21,"96","171",,,,,,,,,,,,,,,,,,,,,,,
72.83080854,19.05879088,"0","0","547",19.61017913,2022/11/17 12:42:22,"96","171",,,,,,,,,,,,,,,,,,,,,,,
72.83080943,19.05877869,"0","0","548",19.60330786,2022/11/17 12:42:24,"96","171",,,,,,,,,,,,,,,,,,,,,,,
72.83081062,19.05876599,"0","0","549",19.61675391,2022/11/17 12:42:25,"96","171",,,,,,,,,,,,,,,,,,,,,,,
72.83081292,19.05875169,"0","0","550",19.64643749,2022/11/17 12:42:26,"96","171",,,,,,,,,,,,,,,,,,,,,,,
72.83081365,19.05874052,"0","0","551",19.72129107,2022/11/17 12:42:27,"96","171",,,,,,,,,,,,,,,,,,,,,,,
72.8308166,19.0587278,"0","0","552",19.89407003,2022/11/17 12:42:28,"96","171",,,,,,,,,,,,,,,,,,,,,,,
